slug	scientific	common	reason
horornis_vulcanius	Horornis vulcanius	Sunda Bush Warbler	not in eBird taxonomy
human_non_vocal	Human non-vocal	Human non-vocal	non-bird event class
human_vocal	Human vocal	Human vocal	non-bird event class
human_whistle	Human whistle	Human whistle	non-bird event class
hydropsalis_maculicaudus	Hydropsalis maculicaudus	Spot-tailed Nightjar	not in eBird taxonomy
hyliola_regilla	Hyliola regilla	Pacific Chorus Frog	not in eBird taxonomy
hylophilus_thoracicus	Hylophilus thoracicus	Lemon-chested Greenlet	ERROR: ebird:lecgre2 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
hylorchilus_sumichrasti	Hylorchilus sumichrasti	Sumichrast's Wren	ERROR: ebird:sumwre1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
hymenops_perspicillatus	Hymenops perspicillatus	Spectacled Tyrant	ERROR: ebird:spetyr1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
incilius_valliceps	Incilius valliceps	Gulf Coast Toad	not in eBird taxonomy
iole_indica	Iole indica	Yellow-browed Bulbul	not in eBird taxonomy
ixobrychus_cinnamomeus	Ixobrychus cinnamomeus	Cinnamon Bittern	not in eBird taxonomy
ixobrychus_dubius	Ixobrychus dubius	Black-backed Bittern	not in eBird taxonomy
ixobrychus_eurhythmus	Ixobrychus eurhythmus	Schrenck's Bittern	not in eBird taxonomy
ixobrychus_exilis	Ixobrychus exilis	Least Bittern	not in eBird taxonomy
ixobrychus_flavicollis	Ixobrychus flavicollis	Black Bittern	not in eBird taxonomy
ixobrychus_involucris	Ixobrychus involucris	Stripe-backed Bittern	not in eBird taxonomy
ixobrychus_minutus	Ixobrychus minutus	Little Bittern	not in eBird taxonomy
ixobrychus_sinensis	Ixobrychus sinensis	Yellow Bittern	not in eBird taxonomy
lanius_corvinus	Lanius corvinus	Yellow-billed Shrike	not in eBird taxonomy
laterallus_leucopyrrhus	Laterallus leucopyrrhus	Red-and-white Crake	not in eBird taxonomy
laterallus_xenopterus	Laterallus xenopterus	Rufous-faced Crake	not in eBird taxonomy
leucolia_violiceps	Leucolia violiceps	Violet-crowned Hummingbird	not in eBird taxonomy
lichmera_limbata	Lichmera limbata	Indonesian Honeyeater	not in eBird taxonomy
lithobates_catesbeianus	Lithobates catesbeianus	American Bullfrog	not in eBird taxonomy
lithobates_clamitans	Lithobates clamitans	Green Frog	not in eBird taxonomy
lithobates_palustris	Lithobates palustris	Pickerel Frog	not in eBird taxonomy
lithobates_sylvaticus	Lithobates sylvaticus	Wood Frog	not in eBird taxonomy
lophochroa_leadbeateri	Lophochroa leadbeateri	Pink Cockatoo	not in eBird taxonomy
lybius_bidentatus	Lybius bidentatus	Double-toothed Barbet	not in eBird taxonomy
melaenornis_silens	Melaenornis silens	Fiscal Flycatcher	not in eBird taxonomy
